Dragen Version           Size (MB)  Install Date         Path
4.4.4                    846.30     2025-07-22 00:16:45  /opt/dragen/4.4.4

Bitstream Version        Size (MB)  Install Date         Path
07.031.779 (0x18101306)  601.18     2025-07-22 00:16:36  /opt/bitstream/07.031.779

To remove a dragen version, call `yum remove` on its Path.
=== GENOME FILE STATS ===
666436 ConvSK_mind20_ibd.genome
=== HIGH_PIHAT_PAIRS ===
FID1 IID1 FID2 IID2 Z0 Z1 Z2 PI_HAT
550 20-05 818 02-61 0.3142 0.6858 0.0000 0.3429
550 20-05 819 03-69 0.3036 0.6964 0.0000 0.3482
550 20-05 820 03-84 0.5182 0.4818 0.0000 0.2409
550 20-05 821 03-87 0.3162 0.6838 0.0000 0.3419
550 20-05 822 07-45 0.3130 0.6870 0.0000 0.3435
550 20-05 823 07-48 0.3116 0.6884 0.0000 0.3442
550 20-05 824 08-103 0.3165 0.6835 0.0000 0.3418
550 20-05 825 08-108 0.2927 0.7073 0.0000 0.3536
550 20-05 826 08-121 0.3408 0.6592 0.0000 0.3296
550 20-05 827 08-122 0.3117 0.6883 0.0000 0.3441
550 20-05 828 08-126 0.3155 0.6845 0.0000 0.3423
550 20-05 829 08-127 0.3085 0.6915 0.0000 0.3457
550 20-05 830 08-155 0.3140 0.6860 0.0000 0.3430
550 20-05 831 08-175 0.3072 0.6928 0.0000 0.3464
550 20-05 832 08-181 0.3059 0.6941 0.0000 0.3470
550 20-05 833 08-183 0.2992 0.7008 0.0000 0.3504
550 20-05 834 08-190 0.3183 0.6817 0.0000 0.3409
550 20-05 835 08-197 0.3236 0.6764 0.0000 0.3382
550 20-05 836 08-198 0.3034 0.6966 0.0000 0.3483
550 20-05 837 08-204 0.3212 0.6788 0.0000 0.3394
550 20-05 838 08-220 0.3184 0.6816 0.0000 0.3408
550 20-05 839 08-237 0.3009 0.6991 0.0000 0.3495
550 20-05 840 08-25 0.1987 0.7522 0.0491 0.4252
550 20-05 841 08-27 0.3198 0.6802 0.0000 0.3401
550 20-05 842 08-28 0.2977 0.7023 0.0000 0.3512
550 20-05 843 08-29 0.3106 0.6894 0.0000 0.3447
550 20-05 844 08-33 0.3354 0.6646 0.0000 0.3323
550 20-05 845 08-38 0.3101 0.6899 0.0000 0.3450
550 20-05 846 08-435 0.3024 0.6976 0.0000 0.3488
550 20-05 847 08-441 0.3209 0.6791 0.0000 0.3395
550 20-05 848 08-443 0.3207 0.6793 0.0000 0.3397
550 20-05 849 08-45 0.3059 0.6941 0.0000 0.3470
550 20-05 850 08-461 0.2990 0.7010 0.0000 0.3505
550 20-05 851 08-462 0.3057 0.6943 0.0000 0.3472
550 20-05 852 08-463 0.3615 0.6385 0.0000 0.3192
550 20-05 853 08-464 0.3002 0.6998 0.0000 0.3499
550 20-05 854 08-468 0.3022 0.6978 0.0000 0.3489
550 20-05 855 08-469 0.3055 0.6945 0.0000 0.3473
550 20-05 856 08-470 0.3056 0.6944 0.0000 0.3472
550 20-05 857 08-471 0.3070 0.6930 0.0000 0.3465
550 20-05 858 08-476 0.2976 0.7024 0.0000 0.3512
550 20-05 859 08-477 0.3016 0.6984 0.0000 0.3492
550 20-05 860 08-482 0.3310 0.6690 0.0000 0.3345
550 20-05 861 08-483 0.3236 0.6764 0.0000 0.3382
550 20-05 862 08-495 0.2782 0.7040 0.0178 0.3698
550 20-05 863 08-503 0.3136 0.6864 0.0000 0.3432
550 20-05 864 08-506 0.3724 0.6276 0.0000 0.3138
550 20-05 865 08-516 0.3077 0.6923 0.0000 0.3462
550 20-05 866 08-517 0.3104 0.6896 0.0000 0.3448
550 20-05 867 08-518 0.3147 0.6853 0.0000 0.3426
550 20-05 868 08-52 0.3278 0.6722 0.0000 0.3361
550 20-05 869 08-520 0.3211 0.6789 0.0000 0.3395
550 20-05 870 08-521 0.3142 0.6858 0.0000 0.3429
550 20-05 871 08-524 0.3443 0.6557 0.0000 0.3279
550 20-05 872 08-526 0.3000 0.7000 0.0000 0.3500
550 20-05 873 08-564 0.3012 0.6988 0.0000 0.3494
550 20-05 874 08-584 0.2955 0.7045 0.0000 0.3523
550 20-05 875 08-595 0.3155 0.6845 0.0000 0.3422
550 20-05 876 08-615 0.3204 0.6796 0.0000 0.3398
550 20-05 877 08-616 0.3203 0.6797 0.0000 0.3398
550 20-05 878 08-617 0.3369 0.6631 0.0000 0.3316
550 20-05 879 08-618 0.3011 0.6989 0.0000 0.3494
550 20-05 880 08-630 0.3422 0.6578 0.0000 0.3289
550 20-05 881 08-632 0.3094 0.6906 0.0000 0.3453
550 20-05 882 08-69 0.3169 0.6831 0.0000 0.3415
550 20-05 883 08-698 0.3119 0.6881 0.0000 0.3440
550 20-05 884 08-725 0.3025 0.6975 0.0000 0.3487
550 20-05 885 08-73 0.3429 0.6571 0.0000 0.3286
550 20-05 887 08-796 0.3333 0.6667 0.0000 0.3334
550 20-05 888 08-797 0.3284 0.6716 0.0000 0.3358
550 20-05 889 08-801 0.3153 0.6847 0.0000 0.3423
550 20-05 890 08-806 0.2927 0.7073 0.0000 0.3537
550 20-05 891 08-807 0.3080 0.6920 0.0000 0.3460
550 20-05 892 08-808 0.3059 0.6941 0.0000 0.3470
550 20-05 893 08-811 0.3028 0.6972 0.0000 0.3486
550 20-05 894 08-814 0.2967 0.7033 0.0000 0.3516
550 20-05 895 08-818 0.3047 0.6953 0.0000 0.3477
550 20-05 896 08-819 0.3086 0.6914 0.0000 0.3457
550 20-05 897 08-823 0.2941 0.7059 0.0000 0.3529
550 20-05 898 08-825 0.4317 0.5683 0.0000 0.2841
550 20-05 899 08-87 0.3132 0.6868 0.0000 0.3434
550 20-05 900 08-89 0.3115 0.6885 0.0000 0.3442
550 20-05 901 09-108 0.3216 0.6784 0.0000 0.3392
550 20-05 902 09-110 0.2891 0.7109 0.0000 0.3554
550 20-05 903 09-127 0.3358 0.6642 0.0000 0.3321
550 20-05 904 09-129 0.2958 0.7042 0.0000 0.3521
550 20-05 905 09-130 0.3210 0.6790 0.0000 0.3395
550 20-05 906 09-90 0.3130 0.6870 0.0000 0.3435
550 20-05 907 09-95 0.3533 0.6467 0.0000 0.3233
550 20-05 908 12-04 0.2758 0.7242 0.0000 0.3621
550 20-05 909 12-05 0.3045 0.6955 0.0000 0.3478
550 20-05 911 12-13 0.3191 0.6809 0.0000 0.3404
550 20-05 912 13-124 0.3034 0.6966 0.0000 0.3483
550 20-05 913 13-105 0.3524 0.6476 0.0000 0.3238
550 20-05 914 13-107 0.3250 0.6750 0.0000 0.3375
550 20-05 915 13-106 0.3124 0.6876 0.0000 0.3438
550 20-05 916 13-108 0.3075 0.6925 0.0000 0.3463
550 20-05 917 13-109 0.2892 0.7108 0.0000 0.3554
550 20-05 918 13-110 0.3092 0.6908 0.0000 0.3454
550 20-05 919 13-111 0.2958 0.7042 0.0000 0.3521
550 20-05 920 13-112 0.3090 0.6910 0.0000 0.3455
550 20-05 921 13-113 0.2965 0.7035 0.0000 0.3518
550 20-05 922 13-114 0.3409 0.6591 0.0000 0.3295
550 20-05 923 08-555 0.3142 0.6858 0.0000 0.3429
550 20-05 924 13-115 0.3172 0.6828 0.0000 0.3414
550 20-05 925 13-116 0.3129 0.6871 0.0000 0.3435
550 20-05 926 13-117 0.3227 0.6773 0.0000 0.3386
550 20-05 927 13-118 0.3718 0.6282 0.0000 0.3141
550 20-05 928 13-119 0.3158 0.6842 0.0000 0.3421
550 20-05 929 13-120 0.3108 0.6892 0.0000 0.3446
550 20-05 930 13-121 0.3166 0.6834 0.0000 0.3417
550 20-05 931 13-122 0.3038 0.6962 0.0000 0.3481
550 20-05 932 13-123 0.3053 0.6947 0.0000 0.3474
550 20-05 933 13-125 0.2980 0.7020 0.0000 0.3510
550 20-05 934 13-132 0.2692 0.7308 0.0000 0.3654
550 20-05 935 13-131 0.3182 0.6818 0.0000 0.3409
550 20-05 936 13-130 0.3249 0.6751 0.0000 0.3375
550 20-05 937 13-129 0.3135 0.6865 0.0000 0.3432
550 20-05 938 13-128 0.3194 0.6806 0.0000 0.3403
550 20-05 939 13-127 0.3016 0.6984 0.0000 0.3492
550 20-05 940 13-126 0.3362 0.6638 0.0000 0.3319
550 20-05 941 07-66 0.3016 0.6984 0.0000 0.3492
550 20-05 942 07-65 0.3140 0.6860 0.0000 0.3430
550 20-05 943 13-104 0.3228 0.6772 0.0000 0.3386
550 20-05 944 13-102 0.3115 0.6885 0.0000 0.3442
550 20-05 945 13-101 0.3100 0.6900 0.0000 0.3450
550 20-05 946 07-57 0.3137 0.6863 0.0000 0.3431
550 20-05 947 08-619 0.3074 0.6926 0.0000 0.3463
550 20-05 948 07-58 0.3190 0.6810 0.0000 0.3405
550 20-05 949 07-59 0.2986 0.7014 0.0000 0.3507
550 20-05 950 07-61 0.2971 0.7029 0.0000 0.3514
550 20-05 951 07-62 0.3381 0.6619 0.0000 0.3310
550 20-05 952 06-63 0.2962 0.7038 0.0000 0.3519
550 20-05 953 07-64 0.3208 0.6792 0.0000 0.3396
550 20-05 954 09-105 0.3219 0.6781 0.0000 0.3391
550 20-05 955 09-104 0.3061 0.6939 0.0000 0.3470
550 20-05 956 09-103 0.3115 0.6885 0.0000 0.3442
550 20-05 957 09-102 0.3134 0.6866 0.0000 0.3433
550 20-05 958 09-101 0.3181 0.6819 0.0000 0.3410
550 20-05 959 13-103 0.3277 0.6723 0.0000 0.3362
550 20-05 960 08-554 0.3212 0.6788 0.0000 0.3394
550 20-05 961 08-556 0.3349 0.6651 0.0000 0.3325
550 20-05 962 07-23 0.3078 0.6922 0.0000 0.3461
550 20-05 963 08-587 0.3468 0.6532 0.0000 0.3266
550 20-05 964 07-46 0.3107 0.6893 0.0000 0.3447
550 20-05 965 08-594 0.3100 0.6900 0.0000 0.3450
550 20-05 966 08-437 0.3085 0.6915 0.0000 0.3458
550 20-05 967 05-206 0.3001 0.6999 0.0000 0.3500
550 20-05 968 08-100 0.3098 0.6902 0.0000 0.3451
550 20-05 969 08-577 0.3034 0.6966 0.0000 0.3483
550 20-05 970 08-579 0.3227 0.6773 0.0000 0.3386
550 20-05 971 08-589 0.3066 0.6934 0.0000 0.3467
550 20-05 972 08-439 0.3190 0.6810 0.0000 0.3405
550 20-05 973 05-1908 0.2967 0.7033 0.0000 0.3517
550 20-05 974 08-585 0.3178 0.6822 0.0000 0.3411
550 20-05 975 01-71 0.3031 0.6969 0.0000 0.3484
550 20-05 976 09-96 0.3128 0.6872 0.0000 0.3436
550 20-05 977 08-61 0.3239 0.6761 0.0000 0.3380
550 20-05 978 08-720 0.2987 0.7013 0.0000 0.3506
550 20-05 979 05-205 0.3073 0.6927 0.0000 0.3463
550 20-05 980 08-66d 0.3159 0.6841 0.0000 0.3421
550 20-05 981 02-47 0.3311 0.6689 0.0000 0.3344
550 20-05 982 08-726 0.3150 0.6850 0.0000 0.3425
550 20-05 983 08-623d 0.3042 0.6958 0.0000 0.3479
550 20-05 984 08-104 0.3523 0.6477 0.0000 0.3238
550 20-05 985 03-36 0.3153 0.6847 0.0000 0.3424
550 20-05 986 08-191 0.3138 0.6862 0.0000 0.3431
550 20-05 987 08-174 0.3310 0.6690 0.0000 0.3345
550 20-05 988 08-699 0.3098 0.6902 0.0000 0.3451
550 20-05 989 08-572 0.3466 0.6534 0.0000 0.3267
550 20-05 990 08-663 0.3145 0.6855 0.0000 0.3427
550 20-05 991 08-614 0.3097 0.6903 0.0000 0.3451
550 20-05 992 08-712 0.2987 0.7013 0.0000 0.3507
550 20-05 993 08-580 0.3055 0.6945 0.0000 0.3472
550 20-05 994 08-588 0.3249 0.6751 0.0000 0.3376
550 20-05 995 08-634 0.2950 0.7050 0.0000 0.3525
550 20-05 996 08-718 0.2920 0.7080 0.0000 0.3540
550 20-05 997 08-576 0.3291 0.6709 0.0000 0.3354
550 20-05 998 08-709 0.3016 0.6984 0.0000 0.3492
550 20-05 999 08-57 0.3083 0.6917 0.0000 0.3458
550 20-05 1000 08-559 0.3123 0.6877 0.0000 0.3438
550 20-05 1001 08-706 0.3199 0.6801 0.0000 0.3401
550 20-05 1002 08-662 0.3165 0.6835 0.0000 0.3418
550 20-05 1004 08-592 0.3020 0.6980 0.0000 0.3490
550 20-05 1005 08-696 0.2917 0.7083 0.0000 0.3542
550 20-05 1006 08-570 0.3267 0.6733 0.0000 0.3367
550 20-05 1007 08-710 0.3133 0.6867 0.0000 0.3433
550 20-05 1008 05-208 0.3064 0.6936 0.0000 0.3468
550 20-05 1009 08-125-09 0.3249 0.6751 0.0000 0.3375
550 20-05 1010 08-46 0.2978 0.7022 0.0000 0.3511
550 20-05 1011 03-92 0.3065 0.6935 0.0000 0.3467
550 20-05 1012 08-169 0.2930 0.7070 0.0000 0.3535
550 20-05 1013 02-62 0.3606 0.6394 0.0000 0.3197
550 20-05 1014 08-34 0.3038 0.6962 0.0000 0.3481
550 20-05 1015 08-822 0.2968 0.7032 0.0000 0.3516
550 20-05 1016 08-167 0.3392 0.6608 0.0000 0.3304
550 20-05 1017 03-38 0.2985 0.7015 0.0000 0.3508
550 20-05 1018 08-162 0.2996 0.7004 0.0000 0.3502
550 20-05 1019 05-210 0.3096 0.6904 0.0000 0.3452
550 20-05 1020 02-56 0.3068 0.6932 0.0000 0.3466
550 20-05 1021 08-729 0.3035 0.6965 0.0000 0.3482
550 20-05 1022 08-158 0.3080 0.6920 0.0000 0.3460
550 20-05 1023 08-275 0.3017 0.6983 0.0000 0.3491
550 20-05 1024 08-276 0.3170 0.6830 0.0000 0.3415
550 20-05 1025 08-824 0.3009 0.6991 0.0000 0.3496
550 20-05 1026 08-118 0.3185 0.6815 0.0000 0.3407
550 20-05 1027 08-203 0.2968 0.7032 0.0000 0.3516
550 20-05 1028 08-465 0.2950 0.7050 0.0000 0.3525
550 20-05 1029 02-70 0.3289 0.6711 0.0000 0.3356
550 20-05 1031 08-447 0.2902 0.7098 0.0000 0.3549
550 20-05 1032 09-89 0.2990 0.7010 0.0000 0.3505
550 20-05 1033 04-33 0.2966 0.7034 0.0000 0.3517
550 20-05 1034 08-94 0.3178 0.6822 0.0000 0.3411
550 20-05 1035 08-480 0.2850 0.7150 0.0000 0.3575
550 20-05 1036 08-43 0.2927 0.7073 0.0000 0.3537
550 20-05 1037 05-211 0.2949 0.7051 0.0000 0.3525
550 20-05 1038 08-176╨Ñ-00006 0.2996 0.7004 0.0000 0.3502
550 20-05 1039 08-65 0.2999 0.7001 0.0000 0.3500
550 20-05 1040 03-94-09 0.3031 0.6969 0.0000 0.3484
550 20-05 1041 08-172 0.2952 0.7048 0.0000 0.3524
550 20-05 1044 08-90 0.2952 0.7048 0.0000 0.3524
550 20-05 1045 03-33 0.3164 0.6836 0.0000 0.3418
550 20-05 1046 08-173 0.3154 0.6846 0.0000 0.3423
550 20-05 1047 08-628 0.3093 0.6907 0.0000 0.3453
550 20-05 1048 08-157 0.3098 0.6902 0.0000 0.3451
550 20-05 1049 02-100 0.3439 0.6561 0.0000 0.3280
550 20-05 1050 02-98 0.3142 0.6858 0.0000 0.3429
550 20-05 1051 05-207 0.2935 0.7065 0.0000 0.3533
550 20-05 1052 04-30 0.3120 0.6880 0.0000 0.3440
550 20-05 1053 08-188 0.2997 0.7003 0.0000 0.3502
550 20-05 1056 02-53 0.3015 0.6985 0.0000 0.3493
550 20-05 1057 01-67 0.3033 0.6967 0.0000 0.3484
550 20-05 1058 08-98 0.3060 0.6940 0.0000 0.3470
550 20-05 1059 02-85 0.3055 0.6945 0.0000 0.3473
550 20-05 1060 08-733 0.2946 0.7054 0.0000 0.3527
550 20-05 1061 08-608 0.2983 0.7017 0.0000 0.3509
550 20-05 1062 08-91 0.3343 0.6657 0.0000 0.3329
550 20-05 1063 08-448 0.2932 0.7068 0.0000 0.3534
550 20-05 1064 04-35 0.3026 0.6974 0.0000 0.3487
550 20-05 1066 02-105 0.3068 0.6932 0.0000 0.3466
550 20-05 1067 08-563 0.3061 0.6939 0.0000 0.3470
550 20-05 1069 08-50 0.3060 0.6940 0.0000 0.3470
550 20-05 1070 08-117 0.3232 0.6768 0.0000 0.3384
550 20-05 1071 08-185 0.3041 0.6959 0.0000 0.3480
550 20-05 1072 08-171 0.3116 0.6884 0.0000 0.3442
550 20-05 1073 08-178 0.3019 0.6981 0.0000 0.3491
550 20-05 1074 02-101 0.3176 0.6824 0.0000 0.3412
550 20-05 1075 08-93 0.3233 0.6767 0.0000 0.3383
550 20-05 1076 08-234 0.3063 0.6937 0.0000 0.3468
550 20-05 1077 08-565 0.2996 0.7004 0.0000 0.3502
550 20-05 1078 08-558 0.3003 0.6997 0.0000 0.3499
550 20-05 1079 08-227 0.3192 0.6808 0.0000 0.3404
550 20-05 1080 08-184 0.3002 0.6998 0.0000 0.3499
550 20-05 1082 08-88 0.3071 0.6929 0.0000 0.3465
550 20-05 1083 08-51 0.2867 0.7133 0.0000 0.3567
550 20-05 1084 08-620 0.2963 0.7037 0.0000 0.3519
550 20-05 1085 08-243 0.3210 0.6790 0.0000 0.3395
550 20-05 1086 04-32 0.3238 0.6762 0.0000 0.3381
550 20-05 1087 03-93-09 0.3260 0.6740 0.0000 0.3370
550 20-05 1088 08-95 0.2920 0.7080 0.0000 0.3540
550 20-05 1089 08-110 0.3717 0.6283 0.0000 0.3142
550 20-05 1090 08-551 0.3143 0.6857 0.0000 0.3428
550 20-05 1091 08-560 0.3057 0.6943 0.0000 0.3472
550 20-05 1092 08-553 0.3090 0.6910 0.0000 0.3455
550 20-05 1093 08-596 0.2663 0.7337 0.0000 0.3669
550 20-05 1094 08-86 0.1534 0.8354 0.0112 0.4289
550 20-05 1095 08-613 0.3077 0.6923 0.0000 0.3461
550 20-05 1096 08-719 0.3025 0.6975 0.0000 0.3488
550 20-05 1097 08-727 0.3205 0.6795 0.0000 0.3397
550 20-05 1098 08-120 0.3050 0.6950 0.0000 0.3475
550 20-05 1099 08-446 0.3033 0.6967 0.0000 0.3484
550 20-05 1100 08-590 0.3029 0.6971 0.0000 0.3486
550 20-05 1101 08-713 0.3301 0.6699 0.0000 0.3349
550 20-05 1102 20-06m 0.3117 0.6883 0.0000 0.3441
550 20-05 1103 20-08 0.3059 0.6941 0.0000 0.3470
550 20-05 1153 08-523 0.3393 0.6607 0.0000 0.3303
550 20-05 1154 08-534 0.3024 0.6976 0.0000 0.3488
550 20-05 1155 08-55 0.2908 0.7092 0.0000 0.3546
550 20-05 1156 08-550 0.2950 0.7050 0.0000 0.3525
550 20-05 1157 08-56 0.3046 0.6954 0.0000 0.3477
550 20-05 1158 08-562 0.2876 0.7124 0.0000 0.3562
550 20-05 1164 08-665 0.2801 0.7199 0.0000 0.3600
550 20-05 1165 08-667 0.3092 0.6908 0.0000 0.3454
550 20-05 1166 08-701d 0.3049 0.6951 0.0000 0.3475
550 20-05 1167 08-702 0.2958 0.7042 0.0000 0.3521
550 20-05 1168 08-705 0.3180 0.6820 0.0000 0.3410
550 20-05 1169 08-719d 0.3007 0.6993 0.0000 0.3496
550 20-05 1170 08-742 0.3069 0.6931 0.0000 0.3466
550 20-05 1200 13-03 0.3453 0.6547 0.0000 0.3273
550 20-05 1201 13-40 0.3132 0.6868 0.0000 0.3434
550 20-05 1202 13-43 0.3181 0.6819 0.0000 0.3409
550 20-05 1203 13-11 0.3198 0.6802 0.0000 0.3401
550 20-05 1204 13-26 0.3133 0.6867 0.0000 0.3434
550 20-05 1205 13-36 0.3146 0.6854 0.0000 0.3427
550 20-05 1206 13-05 0.3109 0.6891 0.0000 0.3446
550 20-05 1207 13-21 0.3433 0.6567 0.0000 0.3283
550 20-05 1208 13-04 0.3070 0.6930 0.0000 0.3465
550 20-05 1209 13-63 0.3535 0.6465 0.0000 0.3232
550 20-05 1210 13-34 0.3607 0.6393 0.0000 0.3197
550 20-05 1211 13-64 0.3001 0.6999 0.0000 0.3499
550 20-05 1212 13-12 0.3326 0.6674 0.0000 0.3337
550 20-05 1213 13-35 0.3181 0.6819 0.0000 0.3410
550 20-05 1214 13-68 0.3302 0.6698 0.0000 0.3349
550 20-05 1215 13-08 0.3095 0.6905 0.0000 0.3453
550 20-05 1216 13-07 0.3098 0.6902 0.0000 0.3451
550 20-05 1217 03-80 0.3160 0.6840 0.0000 0.3420
550 20-05 1218 13-25 0.3118 0.6882 0.0000 0.3441
550 20-05 1219 01-74 0.3154 0.6846 0.0000 0.3423
550 20-05 1220 13-06 0.3363 0.6637 0.0000 0.3319
550 20-05 1221 13-37 0.2903 0.7097 0.0000 0.3549
550 20-05 1222 13-60 0.3247 0.6753 0.0000 0.3376
550 20-05 1223 13-57 0.3023 0.6977 0.0000 0.3488
550 20-05 1224 08-402 0.3126 0.6874 0.0000 0.3437
550 20-05 1225 13-52 0.2926 0.7074 0.0000 0.3537
550 20-05 1226 13-69 0.3048 0.6952 0.0000 0.3476
550 20-05 1227 13-67 0.2999 0.7001 0.0000 0.3500
550 20-05 1228 13-41 0.3299 0.6701 0.0000 0.3351
550 20-05 1229 13-28 0.3000 0.7000 0.0000 0.3500
550 20-05 1230 13-02 0.3387 0.6613 0.0000 0.3307
550 20-05 1231 13-19 0.3200 0.6800 0.0000 0.3400
550 20-05 1232 13-13 0.3182 0.6818 0.0000 0.3409
550 20-05 1233 13-30 0.3157 0.6843 0.0000 0.3422
550 20-05 1234 13-32 0.2952 0.7048 0.0000 0.3524
550 20-05 1235 03-19 0.3106 0.6894 0.0000 0.3447
550 20-05 1236 13-45 0.3028 0.6972 0.0000 0.3486
550 20-05 1237 13-50 0.3287 0.6713 0.0000 0.3356
550 20-05 1238 13-66 0.3005 0.6995 0.0000 0.3498
550 20-05 1239 13-65 0.3117 0.6883 0.0000 0.3441
550 20-05 1240 13-46 0.3065 0.6935 0.0000 0.3467
550 20-05 1241 13-48 0.2998 0.7002 0.0000 0.3501
550 20-05 1242 13-71 0.3388 0.6612 0.0000 0.3306
550 20-05 1243 13-72 0.2990 0.7010 0.0000 0.3505
550 20-05 1244 13-73 0.3114 0.6886 0.0000 0.3443
550 20-05 1245 13-17 0.2934 0.7066 0.0000 0.3533
550 20-05 1246 13-16 0.3109 0.6891 0.0000 0.3446
550 20-05 1247 13-01 0.2990 0.7010 0.0000 0.3505
551 08-161 840 08-25 0.3425 0.6575 0.0000 0.3288
551 08-161 862 08-495 0.4733 0.5267 0.0000 0.2633
551 08-161 1094 08-86 0.4534 0.5466 0.0000 0.2733
552 14-117m 840 08-25 0.3630 0.6370 0.0000 0.3185
552 14-117m 862 08-495 0.5238 0.4762 0.0000 0.2381
552 14-117m 1094 08-86 0.5438 0.4562 0.0000 0.2281
553 08-182 840 08-25 0.3699 0.6301 0.0000 0.3151
553 08-182 862 08-495 0.5008 0.4992 0.0000 0.2496
553 08-182 1094 08-86 0.4454 0.5546 0.0000 0.2773
554 12-03 840 08-25 0.3369 0.6631 0.0000 0.3315
554 12-03 862 08-495 0.4931 0.5069 0.0000 0.2534
554 12-03 1094 08-86 0.4644 0.5356 0.0000 0.2678
555 14-21 840 08-25 0.3457 0.6543 0.0000 0.3271
555 14-21 862 08-495 0.4700 0.5300 0.0000 0.2650
555 14-21 1094 08-86 0.4479 0.5521 0.0000 0.2761
556 15-15m 840 08-25 0.3554 0.6446 0.0000 0.3223
556 15-15m 862 08-495 0.4775 0.5225 0.0000 0.2613
556 15-15m 1094 08-86 0.4551 0.5449 0.0000 0.2724
557 08-641 840 08-25 0.3352 0.6648 0.0000 0.3324
557 08-641 862 08-495 0.4597 0.5403 0.0000 0.2701
557 08-641 1094 08-86 0.4502 0.5498 0.0000 0.2749
558 14-13 840 08-25 0.3695 0.6305 0.0000 0.3153
558 14-13 862 08-495 0.4902 0.5098 0.0000 0.2549
558 14-13 1094 08-86 0.4622 0.5378 0.0000 0.2689
559 11-05 840 08-25 0.3425 0.6575 0.0000 0.3287
559 11-05 862 08-495 0.4674 0.5326 0.0000 0.2663
559 11-05 1094 08-86 0.4416 0.5584 0.0000 0.2792
560 12-12 840 08-25 0.3511 0.6489 0.0000 0.3244
560 12-12 862 08-495 0.4839 0.5161 0.0000 0.2581
560 12-12 1094 08-86 0.4828 0.5172 0.0000 0.2586
561 14-06 840 08-25 0.3585 0.6415 0.0000 0.3207
561 14-06 862 08-495 0.5001 0.4999 0.0000 0.2500
561 14-06 1094 08-86 0.4721 0.5279 0.0000 0.2640
562 14-31m 840 08-25 0.3414 0.6586 0.0000 0.3293
562 14-31m 862 08-495 0.4961 0.5039 0.0000 0.2520
562 14-31m 1094 08-86 0.4572 0.5428 0.0000 0.2714
563 08-639 840 08-25 0.3435 0.6565 0.0000 0.3283
563 08-639 862 08-495 0.4881 0.5119 0.0000 0.2559
563 08-639 1094 08-86 0.4674 0.5326 0.0000 0.2663
564 08-635 840 08-25 0.3369 0.6631 0.0000 0.3315
564 08-635 862 08-495 0.4905 0.5095 0.0000 0.2547
564 08-635 1094 08-86 0.4668 0.5332 0.0000 0.2666
565 11-02 840 08-25 0.3548 0.6452 0.0000 0.3226
565 11-02 862 08-495 0.4622 0.5378 0.0000 0.2689
565 11-02 1094 08-86 0.4227 0.5773 0.0000 0.2887
566 14-103m 840 08-25 0.3234 0.6766 0.0000 0.3383
566 14-103m 862 08-495 0.4721 0.5279 0.0000 0.2640
566 14-103m 1094 08-86 0.4749 0.5251 0.0000 0.2625
567 11-04 840 08-25 0.3554 0.6446 0.0000 0.3223
567 11-04 862 08-495 0.4984 0.5016 0.0000 0.2508
567 11-04 1094 08-86 0.4843 0.5157 0.0000 0.2579
568 12-09 840 08-25 0.3471 0.6529 0.0000 0.3264
568 12-09 862 08-495 0.4780 0.5220 0.0000 0.2610
568 12-09 1094 08-86 0.4491 0.5509 0.0000 0.2754
569 08-637 840 08-25 0.3572 0.6428 0.0000 0.3214
569 08-637 862 08-495 0.4979 0.5021 0.0000 0.2510
569 08-637 1094 08-86 0.4800 0.5200 0.0000 0.2600
570 08-642 840 08-25 0.3595 0.6405 0.0000 0.3203
570 08-642 862 08-495 0.4903 0.5097 0.0000 0.2549
570 08-642 1094 08-86 0.4509 0.5491 0.0000 0.2745
571 15-11m 840 08-25 0.3503 0.6497 0.0000 0.3249
571 15-11m 862 08-495 0.4445 0.5555 0.0000 0.2778
571 15-11m 1094 08-86 0.4662 0.5338 0.0000 0.2669
572 08-625 840 08-25 0.3526 0.6474 0.0000 0.3237
572 08-625 862 08-495 0.4880 0.5120 0.0000 0.2560
572 08-625 1094 08-86 0.4285 0.5715 0.0000 0.2858
573 14-02 840 08-25 0.3488 0.6512 0.0000 0.3256
573 14-02 862 08-495 0.4883 0.5117 0.0000 0.2559
573 14-02 1094 08-86 0.4739 0.5261 0.0000 0.2630
574 15-03m 840 08-25 0.3373 0.6627 0.0000 0.3313
574 15-03m 862 08-495 0.4764 0.5236 0.0000 0.2618
574 15-03m 1094 08-86 0.4666 0.5334 0.0000 0.2667
575 15-17m 840 08-25 0.3624 0.6376 0.0000 0.3188
575 15-17m 862 08-495 0.5008 0.4992 0.0000 0.2496
575 15-17m 1094 08-86 0.4841 0.5159 0.0000 0.2579
576 08-640 840 08-25 0.3461 0.6539 0.0000 0.3270
576 08-640 862 08-495 0.4747 0.5253 0.0000 0.2626
576 08-640 1094 08-86 0.4802 0.5198 0.0000 0.2599
577 08-631 840 08-25 0.3546 0.6454 0.0000 0.3227
577 08-631 862 08-495 0.4791 0.5209 0.0000 0.2604
577 08-631 1094 08-86 0.4727 0.5273 0.0000 0.2637
578 09-62 840 08-25 0.3349 0.6651 0.0000 0.3326
578 09-62 862 08-495 0.4938 0.5062 0.0000 0.2531
578 09-62 1094 08-86 0.4498 0.5502 0.0000 0.2751
579 01-14 840 08-25 0.3512 0.6488 0.0000 0.3244
579 01-14 862 08-495 0.5054 0.4946 0.0000 0.2473
