Dragen Version           Size (MB)  Install Date         Path
4.4.4                    846.30     2025-07-22 00:16:45  /opt/dragen/4.4.4

Bitstream Version        Size (MB)  Install Date         Path
07.031.779 (0x18101306)  601.18     2025-07-22 00:16:36  /opt/bitstream/07.031.779

To remove a dragen version, call `yum remove` on its Path.
=== GENOME FILE STATS ===
666436 ConvSK_mind20_ibd.genome
=== HIGH_PIHAT_PAIRS ===
FID1 IID1 FID2 IID2 Z0 Z1 Z2 PI_HAT
29 08-138 453 08-123 0.3289 0.6711 0.0000 0.3355
29 08-138 499 08-701 0.5691 0.4309 0.0000 0.2155
29 08-138 550 20-05 0.3158 0.6842 0.0000 0.3421
29 08-138 840 08-25 0.3563 0.6437 0.0000 0.3218
29 08-138 862 08-495 0.4783 0.5217 0.0000 0.2608
29 08-138 1094 08-86 0.4615 0.5385 0.0000 0.2692
30 08-139 271 08-128 0.6691 0.3309 0.0000 0.1655
30 08-139 274 07-04d 0.3578 0.6422 0.0000 0.3211
30 08-139 453 08-123 0.3232 0.6768 0.0000 0.3384
30 08-139 499 08-701 0.5843 0.4157 0.0000 0.2078
30 08-139 550 20-05 0.3106 0.6894 0.0000 0.3447
30 08-139 840 08-25 0.3531 0.6469 0.0000 0.3234
30 08-139 862 08-495 0.4757 0.5243 0.0000 0.2622
30 08-139 1094 08-86 0.4290 0.5710 0.0000 0.2855
31 08-142 274 07-04d 0.3648 0.6352 0.0000 0.3176
31 08-142 453 08-123 0.3242 0.6758 0.0000 0.3379
31 08-142 499 08-701 0.5978 0.4022 0.0000 0.2011
31 08-142 550 20-05 0.3212 0.6788 0.0000 0.3394
31 08-142 840 08-25 0.3370 0.6630 0.0000 0.3315
31 08-142 862 08-495 0.4756 0.5244 0.0000 0.2622
31 08-142 1094 08-86 0.4573 0.5427 0.0000 0.2713
32 08-143 271 08-128 0.6802 0.3198 0.0000 0.1599
32 08-143 274 07-04d 0.3391 0.6609 0.0000 0.3305
32 08-143 453 08-123 0.3042 0.6958 0.0000 0.3479
32 08-143 499 08-701 0.5831 0.4169 0.0000 0.2085
32 08-143 550 20-05 0.3142 0.6858 0.0000 0.3429
32 08-143 840 08-25 0.3450 0.6550 0.0000 0.3275
32 08-143 862 08-495 0.4526 0.5474 0.0000 0.2737
32 08-143 1094 08-86 0.4658 0.5342 0.0000 0.2671
33 08-145 271 08-128 0.6934 0.3066 0.0000 0.1533
33 08-145 274 07-04d 0.3562 0.6438 0.0000 0.3219
33 08-145 453 08-123 0.3465 0.6535 0.0000 0.3267
33 08-145 499 08-701 0.6022 0.3978 0.0000 0.1989
33 08-145 550 20-05 0.3227 0.6773 0.0000 0.3387
33 08-145 840 08-25 0.3570 0.6430 0.0000 0.3215
33 08-145 862 08-495 0.4967 0.5033 0.0000 0.2516
33 08-145 1094 08-86 0.4443 0.5557 0.0000 0.2779
34 08-01 271 08-128 0.6988 0.3012 0.0000 0.1506
34 08-01 274 07-04d 0.3423 0.6577 0.0000 0.3288
34 08-01 453 08-123 0.3234 0.6766 0.0000 0.3383
34 08-01 499 08-701 0.5882 0.4118 0.0000 0.2059
34 08-01 550 20-05 0.3206 0.6794 0.0000 0.3397
34 08-01 840 08-25 0.3320 0.6680 0.0000 0.3340
34 08-01 862 08-495 0.4906 0.5094 0.0000 0.2547
34 08-01 1094 08-86 0.4420 0.5580 0.0000 0.2790
35 08-02 271 08-128 0.6951 0.3049 0.0000 0.1525
35 08-02 274 07-04d 0.3519 0.6481 0.0000 0.3240
35 08-02 453 08-123 0.3289 0.6711 0.0000 0.3355
35 08-02 499 08-701 0.5885 0.4115 0.0000 0.2058
35 08-02 550 20-05 0.3014 0.6986 0.0000 0.3493
35 08-02 840 08-25 0.3546 0.6454 0.0000 0.3227
35 08-02 862 08-495 0.4849 0.5151 0.0000 0.2575
35 08-02 1094 08-86 0.4659 0.5341 0.0000 0.2670
36 08-10 274 07-04d 0.3747 0.6253 0.0000 0.3127
36 08-10 453 08-123 0.3115 0.6885 0.0000 0.3442
36 08-10 499 08-701 0.5838 0.4162 0.0000 0.2081
36 08-10 550 20-05 0.3049 0.6951 0.0000 0.3476
36 08-10 840 08-25 0.3362 0.6638 0.0000 0.3319
36 08-10 862 08-495 0.4779 0.5221 0.0000 0.2611
36 08-10 1094 08-86 0.4679 0.5321 0.0000 0.2660
37 08-11 274 07-04d 0.4074 0.5926 0.0000 0.2963
